HOUSEID,ANNMILES,GASUSGE,HighestEDUC,TAXISERVICE,RIDESHARE22,ESCOOTERUSED,PTUSED,MCTRANSIT,WALKTRANSIT,BIKETRANSIT,EMPLOYMENT2,WTHHFIN,WTHHFIN5D,WTHHFIN2D,NUMADLT,HOMEOWN,HOMETYPE,RAIL,CENSUS_D,CENSUS_R,HH_HISP,DRVRCNT,CNTTDHH,CDIVMSAR,FLAG100,HHFAMINC,HHFAMINC_IMP,HH_RACE,HHSIZE,HHVEHCNT,HHRELATD,LIF_CYC,MSACAT,MSASIZE,TRAVDAY,URBAN,URBANSIZE,URBRUR,PPT517,YOUNGCHILD,RESP_CNT,URBRUR_2010,TDAYDATE,WRKCOUNT,STRATUMID
9000013042,70020,2414.157749729943,8,0,3,0,8,0,9,0,80,7518.7666428,10909.476884,0.0,2,1,1,1,1,1,2,2,4,11,1,11,11,3,3,2,1,4,1,5,6,1,4,1,0,1,2,1,202202,2,1021
9000013256,69647,2474.691223380084,7,0,0,0,0,0,0,0,0,3722.0106994,8166.5599701,0.0,1,1,1,2,1,1,2,1,0,14,1,9,9,1,1,1,2,9,4,6,2,4,6,2,0,0,1,2,202202,0,1022
9000013265,64000,3459.511589052815,5,0,0,0,0,0,1,0,0,5548.8398919,11974.507487,0.0,2,1,1,2,1,1,2,2,0,14,1,5,5,1,2,2,1,10,4,6,4,4,6,2,0,0,2,2,202211,0,1022
9000013533,180080,7176.818412388703,5,0,0,0,0,0,0,0,35,10616.883352,13595.825315,0.0,2,3,3,2,2,1,2,2,2,23,1,5,5,1,2,2,2,2,3,2,6,1,2,1,0,0,2,1,202202,1,1023
9000013537,200000,7656.885545810919,8,2,0,0,10,0,36,15,28,10268.803045,14079.772695,0.0,3,2,1,1,2,1,1,2,1,21,1,6,6,1,3,2,1,10,1,5,2,1,4,1,0,0,3,1,202202,2,1023
9000013812,66818,2718.6933768745325,7,0,3,0,0,0,8,0,145,11111.0163,16402.807032,0.0,4,2,1,1,2,1,2,4,6,21,1,10,10,1,4,4,1,10,1,5,2,1,4,1,0,0,4,1,202202,3,1023
9000013953,200000,7208.805747616421,4,0,0,0,0,0,0,0,48,5461.9822128,6718.4709913,0.0,1,3,3,2,2,1,2,1,2,24,1,4,4,1,2,1,1,5,4,6,3,2,6,1,1,0,2,1,202202,1,1024
9000014277,80000,2742.2010150580586,3,0,0,0,0,0,4,0,0,8699.7310861,10570.318135,0.0,1,3,3,2,3,2,2,1,0,33,1,3,3,1,1,1,2,1,3,1,2,4,6,2,0,0,1,2,202201,0,1026
9000014422,60000,2201.830651976017,7,0,0,0,0,0,0,0,94,22295.832879,0.0,100430.53388,3,1,1,2,3,2,2,3,14,32,1,9,9,1,4,3,1,6,2,4,7,1,3,1,1,0,4,2,202202,3,1026
9000014465,166100,7151.461020718517,4,0,0,0,0,0,5,0,40,65458.576807,0.0,295435.60166,2,3,3,2,3,2,2,2,2,32,1,4,4,1,5,2,1,4,2,4,7,1,5,1,1,2,3,1,202201,1,1025
9000014821,200000,8525.926095472902,4,0,0,0,0,0,0,0,45,19255.171799,23880.554522,0.0,1,3,1,2,3,2,2,1,0,33,1,3,3,5,1,1,2,1,3,1,6,2,6,1,0,0,1,1,202202,1,1026
9000014824,43000,1976.5913619105932,5,0,0,0,0,0,0,0,95,19491.631629,25811.033845,0.0,2,2,1,2,3,2,2,2,0,34,1,9,9,1,2,2,1,2,4,6,6,4,6,2,0,0,2,2,202202,2,1026
9000014928,58500,2050.468326245351,3,0,0,0,0,0,12,0,40,9145.3541687,11763.734124,0.0,2,2,1,2,3,2,2,2,2,33,1,2,2,1,2,11,1,10,3,1,3,2,6,1,0,0,2,1,202201,1,1026
9000015013,77000,3747.4835438508803,6,0,0,0,0,0,0,0,12,4035.8654768,6122.0493785,0.0,2,1,1,2,4,2,2,2,2,42,2,8,8,1,4,5,1,4,2,4,2,4,6,2,2,0,3,2,202202,2,1028
9000015063,66000,3381.0836653483525,7,0,3,0,0,0,15,0,77,7043.6951594,9688.6321883,0.0,2,1,1,2,4,2,2,2,8,42,1,11,11,1,2,2,1,10,2,5,3,1,5,1,0,0,2,1,202202,2,1027
9000015170,60000,2179.0586658387933,4,0,0,0,0,0,0,0,50,35472.375369,58052.136785,0.0,2,1,1,2,4,2,2,2,8,43,1,7,7,2,3,3,1,6,3,2,6,4,6,2,1,0,3,2,202202,1,1028
9000015187,55286,2059.410882909327,4,0,0,0,0,3,0,0,84,13274.690086,17729.790272,0.0,2,2,4,2,4,2,2,2,19,43,1,4,4,1,5,3,1,6,3,3,4,2,6,1,3,0,5,2,202202,2,1028
9000015230,53100,2025.59721727771,3,0,0,0,0,0,3,0,41,17101.63525,0.0,51984.705623,1,1,1,2,4,2,2,1,3,44,1,6,6,1,1,4,2,1,4,6,1,4,6,2,0,0,1,2,202201,1,1028
9000015233,100000,4396.088247493777,7,0,7,0,0,0,4,0,80,2417.2581061,3657.7589597,0.0,2,1,1,2,4,2,2,2,2,44,1,8,8,1,2,2,1,2,4,6,5,4,6,2,0,0,2,2,202202,2,1028
9000015246,43091,1939.4022518374238,4,0,0,0,0,0,0,0,2,4451.5355251,6730.0686282,0.0,4,1,1,2,4,2,2,4,4,43,1,-7,8,1,4,5,1,10,3,1,2,4,6,2,0,0,4,2,202202,2,1028
9000015283,39371,1818.6551919030517,4,0,0,0,0,0,1,0,85,8854.0150459,13553.380464,0.0,2,1,1,2,4,2,2,4,7,44,1,-7,8,1,5,3,1,6,4,6,4,4,6,2,3,0,5,2,202202,2,1028
9000015310,40500,1836.6482803347815,4,0,0,0,0,0,45,0,40,14349.689955,20511.036525,0.0,3,1,1,2,4,2,2,3,8,44,1,4,4,1,6,3,1,6,4,6,4,4,6,2,3,0,6,2,202201,1,1028
9000015387,57890,2036.3730838694896,3,0,0,0,0,0,3,0,0,7340.7819025,0.0,27727.888486,1,3,3,2,4,2,2,1,0,44,1,1,1,1,1,1,2,9,4,6,1,4,6,2,0,0,1,1,202202,0,1028
9000015435,218000,7299.966796948505,3,0,0,0,0,0,3,0,35,25637.375857,34762.621351,0.0,2,3,3,2,5,3,1,2,4,52,1,3,3,1,2,2,1,2,2,4,6,1,5,1,0,0,2,1,202202,2,1029
9000015495,354901,12886.883925092909,6,0,0,0,0,0,10,0,127,15380.512632,0.0,52500.670825,4,1,1,2,5,3,1,4,8,52,1,8,8,97,4,4,1,2,2,4,1,1,5,1,0,0,4,1,202202,3,1029
9000015584,67000,3503.057278357535,4,0,0,0,0,0,0,0,180,18402.771209,26102.773975,0.0,4,1,1,2,5,3,2,4,14,53,1,9,9,1,4,4,1,8,3,1,3,4,6,2,0,0,4,2,202202,4,1030
9000015841,230000,9477.405714514854,3,0,0,0,0,0,0,0,0,19516.332531,28700.228745,0.0,2,1,1,2,5,3,2,2,6,52,1,6,6,1,2,4,1,10,2,4,5,1,5,1,0,0,2,1,202202,0,1029
9000015977,60300,3430.6977586887097,7,0,0,0,0,0,0,0,80,4866.8162989,0.0,18754.129075,2,1,1,2,5,3,2,2,6,53,1,7,7,1,2,2,1,2,3,2,1,1,2,1,0,0,2,1,202201,2,1029
9000016060,77000,2692.9583481209893,6,0,3,0,0,0,0,0,0,23560.464387,34032.762701,0.0,1,1,2,1,5,3,2,1,0,51,1,-7,10,2,1,1,2,1,1,4,5,1,4,1,0,0,1,1,202202,0,1029
9000016088,105000,4822.190552179709,6,0,2,0,0,6,2,2,96,7298.7487708,9987.3368781,0.0,1,1,1,1,5,3,2,1,2,51,1,8,8,1,1,2,2,1,1,5,6,1,4,1,0,0,1,1,202202,1,1029
9000016119,366000,12456.179107837157,4,0,0,0,0,0,0,0,96,13016.114335,17297.614579,0.0,2,3,3,1,5,3,1,2,0,51,1,6,6,1,2,2,1,2,1,5,3,1,4,1,0,0,2,1,202202,2,1029
9000016269,60000,1975.6105152620407,7,0,1,0,0,0,2,0,45,11965.075797,0.0,41852.97568,1,1,2,1,5,3,2,1,3,51,1,10,10,1,1,1,2,1,1,5,7,1,4,1,0,0,1,1,202202,1,1029
9000016610,89000,4361.967077839359,4,0,0,0,0,0,1,0,0,15462.700094,18729.14129,0.0,1,4,3,2,5,3,2,1,0,53,1,1,1,2,1,1,2,1,3,1,6,2,6,1,0,0,1,1,202201,0,1030
9000016637,82000,4335.962079004355,7,0,0,0,0,0,0,0,110,5024.9751118,0.0,15524.217479,2,1,1,2,5,3,2,3,8,54,1,7,7,1,3,3,1,8,4,6,1,2,6,1,1,0,3,1,202203,3,1030
9000016671,200615,11769.795367429475,4,0,0,0,0,0,0,0,30,18164.937289,23871.122354,0.0,3,1,1,2,5,3,2,4,6,53,1,7,7,1,4,4,1,6,3,1,4,2,6,1,1,0,4,1,202202,1,1030
9000016931,60000,2047.9088964299349,4,0,0,0,0,0,15,0,0,6317.6779308,6805.7410632,0.0,1,2,1,2,6,3,2,1,0,64,1,4,4,1,1,1,2,9,4,6,5,4,6,2,0,0,1,2,202202,0,1032
9000017295,157500,5545.964199336896,6,0,0,0,0,0,4,0,40,7088.4572705,8844.8189351,0.0,2,1,1,2,7,3,2,2,8,72,1,5,5,97,2,2,1,10,2,4,4,2,6,1,0,0,2,1,202202,1,1033
9000017410,55000,2090.887673868459,8,0,0,0,0,0,12,0,64,9221.4262566,12404.295355,0.0,2,1,1,2,7,3,1,2,8,72,1,9,9,1,5,2,1,4,2,4,2,1,5,1,1,2,3,1,202202,2,1033
9000017551,180000,6544.69781349132,6,0,1,0,0,0,25,5,90,19695.018744,27822.984466,0.0,2,1,1,2,7,3,2,3,11,72,1,8,8,1,5,2,1,6,2,5,2,1,5,1,3,0,5,1,202201,2,1033
9000017616,61667,2925.2122403452563,6,0,0,1,0,0,3,0,85,24155.437216,0.0,96841.541436,2,3,1,2,7,3,2,2,7,73,1,6,6,1,4,2,1,4,3,3,7,1,2,1,0,2,2,1,202202,2,1033
9000017768,50000,2380.2252087306715,4,0,0,0,0,0,0,0,64,7640.5286467,10737.522471,0.0,2,1,1,2,7,3,2,2,6,74,1,8,8,1,2,3,1,2,4,6,4,4,6,2,0,0,2,2,202202,2,1034
9000017793,43000,1817.2945873470712,6,0,0,0,0,0,0,0,80,4588.896709,6129.9673625,0.0,2,1,1,2,7,3,2,2,4,73,1,6,6,1,2,2,1,2,3,1,6,2,6,1,0,0,2,1,202201,2,1034
9000017795,40000,2181.6224020041846,6,0,0,0,0,0,0,0,0,4125.2442971,5372.5210147,0.0,2,2,1,2,7,3,2,2,0,74,1,6,6,1,2,3,1,10,4,6,5,2,6,1,0,0,2,1,202202,0,1034
9000018015,165597,6213.624629713153,5,0,0,0,2,0,0,0,0,12099.72997,14867.237715,0.0,1,3,3,2,8,4,1,1,0,83,1,1,1,1,1,1,2,9,3,1,3,1,1,1,0,0,1,1,202201,0,1035
9000018083,130000,4431.771694717169,6,0,0,0,0,0,0,0,90,96224.724681,0.0,317140.54403,2,2,1,2,8,4,2,2,10,82,1,11,11,1,2,2,1,2,2,4,7,1,3,1,0,0,2,1,202201,2,1035
9000018451,70000,2769.040007122983,7,0,0,0,0,0,18,9,80,10084.325527,0.0,33838.039373,2,3,3,2,9,4,2,2,1,93,1,8,8,1,2,2,1,2,3,2,1,1,2,1,0,0,2,1,202201,2,1037
9000018592,52200,1974.4782703726867,5,6,6,0,0,0,23,8,60,23515.525785,34287.647519,0.0,2,1,1,2,9,4,1,2,2,93,1,8,8,1,3,4,1,6,3,2,5,2,6,1,1,0,3,1,202202,1,1037
9000018676,78800,2983.428831616868,6,0,0,0,0,0,0,0,0,8104.4842425,10077.597836,0.0,2,2,1,2,9,4,2,2,0,93,1,3,3,1,2,2,1,10,3,1,3,4,6,2,0,0,2,2,202202,0,1038
9000019046,208800,13285.639015556742,5,0,0,4,0,0,18,0,60,8065.2923447,11521.343427,0.0,2,3,3,2,9,4,2,2,2,92,1,7,7,1,2,2,1,2,2,5,3,1,5,1,0,0,2,1,202201,1,1037
9000019078,61000,2474.880952226036,6,0,0,0,0,0,5,0,40,34622.264401,43765.229073,0.0,4,1,4,1,9,4,1,4,1,91,1,6,6,97,4,4,1,8,1,5,6,1,4,1,0,0,4,1,202201,1,1037
9000019202,101000,3828.059928628169,6,0,0,0,0,0,5,0,0,5602.4730807,5960.6959772,0.0,1,2,2,2,9,4,2,1,2,93,1,6,6,1,1,1,2,9,3,1,4,2,6,1,0,0,1,1,202202,0,1038
9000045418,94500,5178.1193583377135,7,0,0,0,0,1,15,5,50,20847.043774,50918.62851,0.0,2,1,1,2,1,1,2,2,0,13,1,10,10,1,2,2,1,2,3,1,2,4,6,2,0,0,2,2,202202,1,1022
9000045553,74000,2938.903244696911,7,0,5,0,0,0,27,4,120,15759.263594,20167.145807,0.0,4,3,1,2,9,4,2,4,6,92,1,7,7,1,4,4,1,10,2,4,6,1,5,1,0,0,4,1,202204,3,1037
9000045743,170000,5742.536200966672,6,0,0,0,0,0,22,0,50,15811.559721,21485.267041,0.0,2,1,1,2,7,3,1,3,6,72,1,8,8,1,3,3,1,8,2,5,2,1,3,1,1,0,3,1,202202,1,1033
9000045855,88000,3321.1623690514466,4,0,0,0,0,0,0,0,50,14585.749361,18596.808866,0.0,2,1,3,2,9,4,1,1,2,92,1,5,5,97,2,1,1,10,2,5,5,1,5,1,0,0,2,1,202203,1,1037
9000045937,122123,4966.019910807446,4,0,10,0,0,0,15,0,50,9405.2797552,11477.47422,0.0,2,3,2,2,4,2,2,1,0,43,1,5,5,1,2,1,2,2,3,3,5,1,3,1,0,0,2,1,202202,2,1027
9000045979,80000,2858.7675073159344,7,0,2,0,0,0,2,0,4,9885.4927143,13745.751427,0.0,3,3,1,1,5,3,2,3,2,51,1,8,8,1,3,2,1,10,1,5,5,1,4,1,0,0,3,1,202202,1,1029
9000046291,315546,13443.256612880587,4,0,0,0,0,0,0,0,40,13108.894362,17186.28396,0.0,2,2,2,1,9,4,2,1,2,91,1,4,4,3,2,2,1,2,1,5,5,1,4,1,0,0,2,1,202203,1,1037
9000046328,76000,4331.715412601183,5,0,0,0,0,0,0,0,0,7614.8781262,0.0,35072.720695,1,1,1,2,7,3,2,1,4,74,1,1,1,1,2,1,1,5,4,6,1,2,6,1,1,0,2,1,202202,0,1033
9000046482,74400,3139.283585828235,7,0,0,0,0,0,0,0,35,6634.8008642,0.0,28625.207974,2,1,1,2,5,3,2,2,12,53,1,4,4,1,2,2,1,2,3,3,1,1,1,1,0,0,2,1,202203,2,1029
9000046524,73107,2544.406882271105,5,0,0,0,0,0,0,0,40,13201.135799,19213.163661,0.0,2,1,2,2,8,4,2,2,0,83,1,7,7,1,2,2,1,2,3,2,4,1,2,1,0,0,2,1,202203,1,1035
9000046562,75000,2769.29728336541,4,0,0,0,0,30,0,0,40,16883.216073,21930.657402,0.0,2,3,3,2,7,3,2,2,4,73,1,5,5,1,4,3,1,4,3,2,4,1,2,1,0,2,2,1,202203,1,1033
9000046572,82000,4864.63481649597,6,0,0,0,0,0,2,0,0,3311.9858632,0.0,9563.8073752,2,2,1,1,1,1,2,2,0,11,1,8,8,1,2,2,1,10,1,4,1,1,4,1,0,0,2,1,202202,0,1021
9000046751,56000,2040.3349846328852,6,0,0,0,0,0,0,0,80,7514.8910133,8992.2066416,0.0,3,2,1,2,8,4,2,4,12,82,1,9,9,1,5,4,1,6,2,4,5,4,6,2,2,0,5,2,202202,2,1036
9000046765,160600,6370.153341890459,7,0,0,0,0,0,0,0,35,12500.910882,16427.434868,0.0,3,2,1,2,7,3,2,2,0,73,1,5,5,2,3,2,1,10,3,1,2,2,6,1,0,0,3,1,202202,1,1033
9000046776,62000,2281.39101166385,3,0,0,0,0,0,0,0,8,14096.915301,0.0,54808.810112,3,1,1,1,1,1,2,4,2,11,2,8,8,2,6,7,1,8,1,4,1,1,4,1,3,0,5,1,202202,3,1021
9000047167,55000,2826.558402001968,6,0,0,0,0,0,10,0,84,5070.9106627,0.0,15146.034011,2,1,1,1,2,1,2,2,0,21,1,11,11,1,2,2,1,2,1,5,1,1,4,1,0,0,2,1,202202,2,1023
9000047281,124000,4405.957352062981,6,0,0,0,0,0,0,0,60,14895.081952,0.0,59690.143845,1,1,1,2,5,3,2,1,3,54,1,6,6,2,1,1,2,1,4,6,7,2,6,1,0,0,1,1,202202,1,1029
9000047329,65000,2237.547328834192,6,0,8,0,0,0,4,0,80,14356.520794,21475.769262,0.0,2,1,1,1,5,3,2,2,2,51,1,10,10,1,3,2,1,4,1,5,2,1,4,1,0,1,2,1,202203,2,1029
9000047371,128756,4735.1137273752665,6,0,0,0,0,0,0,0,0,7011.6845136,0.0,34628.025031,1,3,1,2,4,2,2,1,2,43,1,3,3,1,1,1,2,9,3,1,1,2,6,1,0,0,1,1,202202,0,1027
9000047572,83657,2867.5538789589,1,0,0,0,0,0,0,0,0,25545.071754,37790.38727,0.0,1,2,4,2,5,3,2,1,0,54,1,3,3,1,1,1,2,9,4,6,2,4,6,2,0,0,1,2,202202,0,1030
9000047899,160000,5436.653454941419,6,0,0,0,0,0,0,0,64,18328.146069,25823.312696,0.0,2,3,3,1,5,3,2,2,4,51,1,6,6,2,3,2,1,6,1,5,2,1,4,1,1,0,3,1,202202,2,1029
9000047970,200000,6855.502537645147,3,0,7,0,3,0,0,0,52,87949.845526,0.0,346090.65934,3,1,2,1,2,1,2,2,3,21,1,1,1,2,3,1,1,8,1,5,7,1,4,1,0,0,3,1,202202,2,1023
9000048005,156000,5622.868483140808,4,0,0,0,0,0,2,0,40,11877.27769,15810.379295,0.0,1,3,3,2,7,3,2,1,2,72,1,4,4,1,1,1,2,1,2,4,3,1,5,1,0,0,1,1,202203,1,1033
9000048166,46000,2255.1051123159577,4,0,0,0,0,0,0,0,40,48217.367341,67800.938148,0.0,2,1,1,2,9,4,1,2,23,92,1,8,8,1,5,3,1,6,2,4,4,1,5,1,3,0,5,1,202202,1,1037
9000048249,160800,5433.511884007902,5,0,0,0,0,0,8,0,44,117475.40228,145556.54468,0.0,1,1,2,2,4,2,2,1,2,42,1,6,6,3,1,1,2,1,2,5,5,1,5,1,0,0,1,2,202203,1,1027
9000048307,270800,10930.651033966315,4,0,0,0,0,0,0,0,80,14950.906353,19289.890661,0.0,2,1,4,2,5,3,2,2,0,53,1,5,5,2,4,2,1,4,3,1,2,4,6,2,1,1,3,2,202202,2,1030
9000048355,200000,7429.468388214788,3,0,0,0,0,0,0,0,0,31587.792769,50097.193476,0.0,5,2,1,2,8,4,2,4,0,83,1,2,2,1,5,1,1,8,3,1,6,2,6,1,0,0,5,1,202202,0,1035
9000048561,150000,5628.385142586961,4,2,0,0,1,0,6,0,59,39265.182447,0.0,129216.36921,2,1,1,2,3,2,2,2,0,33,1,6,6,1,2,1,1,10,3,1,7,2,6,1,0,0,2,1,202202,1,1025
9000048587,263500,13461.880630636992,6,0,0,0,0,0,2,0,0,3391.9913184,0.0,12343.644736,2,1,1,2,3,2,2,2,0,33,1,7,7,1,2,2,1,2,3,1,1,2,6,1,0,0,2,1,202203,0,1025
9000048814,59000,2422.841873297756,6,0,0,0,0,0,10,0,110,34881.216289,53333.945281,0.0,4,3,1,2,9,4,2,4,9,93,1,10,10,2,4,4,1,2,3,3,4,1,3,1,0,0,4,1,202203,3,1037
9000048817,124000,5037.58708395322,3,0,4,0,0,0,31,0,60,35916.502245,43358.381158,0.0,3,3,3,2,4,2,2,3,4,42,1,6,6,1,5,2,1,4,2,4,4,1,5,1,2,0,5,1,202202,3,1027
9000048852,45500,2292.5144127988515,5,0,0,0,0,0,0,0,80,7947.9043262,0.0,35647.265408,2,1,1,2,2,1,2,2,0,23,1,6,6,1,4,4,1,6,3,1,1,4,6,2,2,0,4,2,202203,2,1024
9000048953,90000,3286.399998623603,6,0,0,0,0,0,0,0,40,7707.3344871,10282.922674,0.0,2,1,1,2,5,3,2,2,2,53,1,7,7,1,2,2,1,10,3,2,3,1,1,1,0,0,2,2,202203,1,1030
9000048988,50000,1925.33830560625,4,0,0,0,0,0,0,0,0,9471.2456972,11893.253195,0.0,1,1,1,1,5,3,2,1,0,51,1,4,4,1,1,1,2,9,1,5,4,2,6,1,0,0,1,1,202202,0,1029
9000049217,116000,4201.2051833785845,7,0,0,0,0,0,0,0,0,5051.3268679,0.0,19518.601509,2,1,1,2,5,3,2,2,5,53,1,8,8,1,2,2,1,10,3,1,1,1,1,1,0,0,2,1,202203,0,1029
9000049329,130909,4604.932873316135,6,0,1,0,0,0,8,0,72,17683.416413,23753.389056,0.0,2,3,3,2,3,2,2,2,2,33,1,6,6,1,2,1,1,2,3,2,5,1,2,1,0,0,2,1,202202,2,1025
9000049413,205000,9734.761602582566,4,0,0,0,0,0,0,0,80,2906.9671737,0.0,9481.0167996,2,1,1,2,4,2,2,2,0,43,1,6,6,1,2,3,2,2,3,3,1,4,6,2,0,0,2,2,202202,2,1028
9000049497,80000,2996.425894673386,6,0,0,0,0,0,2,0,40,20436.754294,25092.134935,0.0,3,1,4,2,7,3,2,3,0,73,1,5,5,1,5,3,1,4,3,1,6,1,1,1,0,2,3,2,202203,1,1034
9000049519,203300,12111.022392162413,6,0,1,0,0,0,1,0,100,54180.182452,70411.402548,0.0,3,3,1,2,7,3,2,3,6,72,1,7,7,4,5,3,1,4,2,4,5,1,1,1,0,2,3,1,202202,2,1033
9000049615,138000,4952.9334847237815,7,0,3,0,0,0,1,0,40,5695.1204761,0.0,21616.019316,1,3,3,2,7,3,2,1,3,72,1,6,6,1,1,1,2,1,2,5,1,1,2,1,0,0,1,1,202202,1,1033
9000049797,174000,6308.083928721549,6,0,0,0,0,0,30,0,0,2167.5962435,2743.1717434,0.0,2,2,1,2,8,4,2,2,2,82,1,5,5,1,2,1,1,10,2,5,2,1,5,1,0,0,2,1,202202,0,1035
9000049831,45000,1830.0571617925702,3,0,0,0,0,0,0,0,0,789.23382096,918.26494937,0.0,4,2,1,2,9,4,2,3,2,94,1,7,7,1,4,2,1,10,4,6,2,4,6,2,0,0,4,2,202202,0,1040
9000049977,201500,8079.546397175832,7,0,0,0,0,0,0,0,80,6084.7166408,8965.5437725,0.0,2,1,1,2,6,3,2,2,4,63,1,7,7,1,3,3,1,6,3,1,3,1,1,1,1,0,3,1,202203,2,1031
9000050070,200000,6690.518364636597,6,0,0,0,0,0,0,0,40,6361.2284914,7907.5693749,0.0,1,3,2,2,3,2,2,1,3,32,1,5,5,1,1,1,2,1,2,4,3,1,5,1,0,0,1,1,202202,1,1025
9000050090,51000,1794.0063444004832,3,0,0,0,0,0,0,0,42,16562.466381,23013.765612,0.0,1,3,3,2,3,2,2,1,0,32,1,7,7,1,1,1,2,1,2,4,3,1,5,1,0,0,1,1,202202,1,1025
9000050226,90000,3430.952860590338,3,0,0,0,0,1,3,0,40,13482.97652,0.0,45728.421904,2,3,2,2,6,3,2,2,5,62,1,5,5,1,4,1,1,4,2,4,1,1,5,1,0,2,2,1,202202,1,1031
9000050507,150000,6590.179492717891,5,0,0,0,0,0,0,3,38,22518.535667,29407.750171,0.0,2,3,3,2,5,3,2,1,2,53,1,3,3,1,2,1,1,10,3,2,4,1,1,1,0,0,2,1,202202,1,1029
9000050692,200000,7136.717690140256,4,0,0,0,4,0,4,2,0,592.00599109,795.80613448,0.0,2,3,3,2,9,4,2,1,0,92,1,2,2,5,2,1,1,10,2,4,2,2,6,1,0,0,2,1,202203,0,1039
9000050705,100000,3490.4713408882953,6,0,0,0,0,0,7,0,95,14642.794833,0.0,50446.566336,2,1,1,1,2,1,1,2,6,21,1,11,11,1,4,2,1,6,1,5,1,2,6,1,2,0,4,1,202202,1,1023
9000050941,26500,2709.7102357501362,4,0,0,0,0,0,3,0,0,13246.821876,16733.969837,0.0,1,2,1,2,3,2,2,1,0,34,1,3,3,1,1,5,2,9,4,6,6,4,6,2,0,0,1,2,202203,0,1026
